id,x,y,z,nombre
1,832,69,80,Caja B
2,13,655,27,Caja C
3,207,576,42,Caja D
4,477,650,100,Caja E
5,619,464,5,Caja F
6,657,920,4,Caja G
7,485,34,66,Caja H
8,732,315,19,Caja I
9,6,575,17,Caja J
10,281,164,14,Caja K
11,977,716,32,Caja L
12,917,903,28,Caja M
13,169,938,77,Caja N
14,949,24,58,Caja O
15,774,939,56,Caja P
16,773,552,4,Caja Q
17,908,2,30,Caja R
18,615,969,56,Caja S
19,330,528,67,Caja T
20,941,492,59,Caja U
21,159,106,70,Caja V
22,560,663,98,Caja W
23,413,376,56,Caja X
24,975,296,38,Caja Y
25,875,276,69,Caja Z
26,625,349,83,Caja A
27,237,475,38,Caja B
28,583,385,4,Caja C
29,395,878,54,Caja D
30,961,220,40,Caja E
31,870,484,19,Caja F
32,971,962,33,Caja G
33,432,369,95,Caja H
34,174,746,51,Caja I
35,767,309,37,Caja J
36,514,823,13,Caja K
37,991,374,74,Caja L
38,423,228,68,Caja M
39,813,375,50,Caja N
40,166,610,47,Caja O
41,740,218,66,Caja P
42,926,701,80,Caja Q
43,537,546,76,Caja R
44,245,558,99,Caja S
45,10,761,14,Caja T
46,622,930,8,Caja U
47,563,851,96,Caja V
48,628,895,77,Caja W
49,133,821,3,Caja X
50,360,781,43,Caja Y
51,326,612,56,Caja Z
52,135,20,21,Caja A
53,738,974,60,Caja B
54,569,201,71,Caja C
55,870,83,67,Caja D
56,118,139,17,Caja E
57,51,134,11,Caja F
58,476,79,1,Caja G
59,428,850,81,Caja H
60,302,693,85,Caja I
61,714,358,90,Caja J
62,808,989,69,Caja K
63,912,507,78,Caja L
64,285,359,32,Caja M
65,789,421,69,Caja N
66,758,883,63,Caja O
67,806,982,54,Caja P
68,51,992,48,Caja Q
69,285,282,60,Caja R
70,901,302,69,Caja S
71,194,606,78,Caja T
72,380,794,74,Caja U
73,283,713,57,Caja V
74,469,541,5,Caja W
75,20,691,64,Caja X
76,878,842,5,Caja Y
77,723,709,69,Caja Z
78,17,522,90,Caja A
79,550,396,93,Caja B
80,34,153,58,Caja C
81,975,476,72,Caja D
82,561,685,82,Caja E
83,35,970,45,Caja F
84,314,408,26,Caja G
85,637,533,64,Caja H
86,622,483,56,Caja I
87,729,965,21,Caja J
88,464,726,70,Caja K
89,819,148,55,Caja L
90,656,280,40,Caja M
91,411,298,39,Caja N
92,396,274,9,Caja O
93,262,950,34,Caja P
94,421,222,55,Caja Q
95,253,642,44,Caja R
96,782,820,34,Caja S
97,126,827,29,Caja T
98,978,181,49,Caja U
99,326,489,78,Caja V
100,164,959,88,Caja W
101,741,311,10,Caja X
102,595,752,91,Caja Y
103,422,731,48,Caja Z
104,109,900,14,Caja A
105,432,234,52,Caja B
106,120,749,95,Caja C
107,348,719,64,Caja D
108,675,776,6,Caja E
109,721,235,88,Caja F
110,471,621,27,Caja G
111,78,853,87,Caja H
112,880,873,59,Caja I
113,535,181,28,Caja J
114,647,617,6,Caja K
115,788,280,75,Caja L
116,398,171,21,Caja M
117,280,886,44,Caja N
118,297,619,52,Caja O
119,969,142,54,Caja P
120,822,584,62,Caja Q
121,968,875,71,Caja R
122,390,98,77,Caja S
123,791,684,94,Caja T
124,119,379,98,Caja U
125,336,917,50,Caja V
126,914,640,66,Caja W
127,467,145,61,Caja X
128,372,505,68,Caja Y
129,906,807,63,Caja Z
130,88,999,27,Caja A
131,321,853,81,Caja B
132,148,587,67,Caja C
133,837,756,36,Caja D
134,899,72,98,Caja E
135,132,806,49,Caja F
136,647,917,75,Caja G
137,529,304,90,Caja H
138,218,246,47,Caja I
139,589,241,21,Caja J
140,355,169,63,Caja K
141,91,321,47,Caja L
142,344,866,98,Caja M
143,929,648,90,Caja N
144,962,207,18,Caja O
145,168,743,45,Caja P
146,501,595,49,Caja Q
147,699,906,31,Caja R
148,194,354,24,Caja S
149,86,817,39,Caja T
150,825,186,8,Caja U
151,715,463,49,Caja V
152,575,595,56,Caja W
153,613,628,51,Caja X
154,386,74,70,Caja Y
155,361,112,77,Caja Z
156,161,667,70,Caja A
157,477,732,57,Caja B
158,452,179,67,Caja C
159,16,425,13,Caja D
160,97,110,16,Caja E
161,923,228,86,Caja F
162,621,790,74,Caja G
163,396,698,88,Caja H
164,984,737,46,Caja I
165,738,472,46,Caja J
166,192,729,77,Caja K
167,317,673,3,Caja L
168,259,949,77,Caja M
169,548,399,17,Caja N
170,473,938,97,Caja O
171,518,735,61,Caja P
172,301,473,9,Caja Q
173,21,546,48,Caja R
174,137,231,93,Caja S
175,122,154,40,Caja T
176,475,242,19,Caja U
177,904,64,70,Caja V
178,311,737,28,Caja W
179,823,358,38,Caja X
180,339,154,78,Caja Y
181,331,142,80,Caja Z
182,376,375,9,Caja A
183,767,877,2,Caja B
184,992,833,84,Caja C
185,532,21,56,Caja D
186,618,893,13,Caja E
187,244,491,25,Caja F
188,61,792,43,Caja G
189,929,829,64,Caja H
190,395,792,57,Caja I
191,205,893,96,Caja J
192,968,115,73,Caja K
193,90,640,15,Caja L
194,527,20,76,Caja M
195,139,310,37,Caja N
196,466,486,32,Caja O
197,749,428,8,Caja P
198,322,221,29,Caja Q
199,807,761,64,Caja R
200,803,561,13,Caja S
201,171,293,42,Caja T
202,568,245,54,Caja U
203,823,105,72,Caja V
204,221,136,64,Caja W
205,681,243,12,Caja X
206,969,794,90,Caja Y
207,886,544,88,Caja Z
208,809,105,59,Caja A
209,879,98,21,Caja B
210,743,719,29,Caja C
211,375,632,67,Caja D
212,365,214,6,Caja E
213,591,773,69,Caja F
214,125,334,86,Caja G
215,267,486,91,Caja H
216,729,286,64,Caja I
217,278,215,41,Caja J
218,494,744,57,Caja K
219,92,326,19,Caja L
220,703,316,82,Caja M
221,506,245,49,Caja N
222,101,396,2,Caja O
223,972,188,6,Caja P
224,727,64,37,Caja Q
225,129,141,41,Caja R
226,840,331,33,Caja S
227,444,823,97,Caja T
228,728,848,27,Caja U
229,738,223,36,Caja V
230,753,378,7,Caja W
231,954,423,32,Caja X
232,90,995,29,Caja Y
233,37,639,8,Caja Z
234,248,479,29,Caja A
235,188,61,78,Caja B
236,103,935,21,Caja C
237,914,495,21,Caja D
238,221,872,44,Caja E
239,519,984,3,Caja F
240,983,49,90,Caja G
241,3,641,97,Caja H
242,523,686,16,Caja I
243,60,687,9,Caja J
244,48,489,59,Caja K
245,218,540,60,Caja L
246,984,868,44,Caja M
247,972,336,60,Caja N
248,385,801,78,Caja O
249,857,691,86,Caja P
250,672,199,77,Caja Q
251,404,667,54,Caja R
252,446,132,100,Caja S
253,612,256,82,Caja T
254,229,894,97,Caja U
255,927,413,29,Caja V
256,880,419,29,Caja W
257,344,48,100,Caja X
258,544,287,16,Caja Y
259,154,538,97,Caja Z
260,183,430,31,Caja A
261,997,759,12,Caja B
262,856,341,31,Caja C
263,284,114,7,Caja D
264,214,445,68,Caja E
265,894,58,94,Caja F
266,53,872,4,Caja G
267,549,587,96,Caja H
268,279,550,41,Caja I
269,954,836,77,Caja J
270,52,712,75,Caja K
271,964,655,80,Caja L
272,665,200,97,Caja M
273,482,89,44,Caja N
274,594,788,8,Caja O
275,388,977,45,Caja P
276,570,987,15,Caja Q
277,96,78,48,Caja R
278,400,411,79,Caja S
279,469,792,73,Caja T
280,500,339,69,Caja U
281,954,24,34,Caja V
282,545,684,52,Caja W
283,854,54,7,Caja X
284,978,876,64,Caja Y
285,111,170,99,Caja Z
286,891,691,7,Caja A
287,637,106,93,Caja B
288,995,99,70,Caja C
289,322,834,17,Caja D
290,675,992,36,Caja E
291,998,359,6,Caja F
292,97,567,40,Caja G
293,550,647,67,Caja H
294,275,685,73,Caja I
295,740,156,37,Caja J
296,990,190,70,Caja K
297,748,910,42,Caja L
298,678,431,30,Caja M
299,260,646,31,Caja N
300,642,441,90,Caja O
301,807,500,35,Caja P
302,378,198,60,Caja Q
303,981,107,33,Caja R
304,188,792,96,Caja S
305,458,650,88,Caja T
306,297,732,80,Caja U
307,828,140,57,Caja V
308,247,841,37,Caja W
309,467,684,6,Caja X
310,648,790,34,Caja Y
311,287,759,48,Caja Z
312,870,504,28,Caja A
313,152,750,52,Caja B
314,298,954,5,Caja C
315,904,551,50,Caja D
316,182,936,81,Caja E
317,713,651,72,Caja F
318,179,194,38,Caja G
319,539,628,89,Caja H
320,897,711,75,Caja I
321,999,366,17,Caja J
322,490,91,6,Caja K
323,250,118,58,Caja L
324,146,287,83,Caja M
325,690,939,53,Caja N
326,5,792,24,Caja O
327,575,591,10,Caja P
328,699,381,33,Caja Q
329,982,805,83,Caja R
330,221,708,45,Caja S
331,327,667,33,Caja T
332,465,717,62,Caja U
333,805,137,99,Caja V
334,375,790,69,Caja W
335,680,581,94,Caja X
336,58,534,96,Caja Y
337,259,132,52,Caja Z
338,362,971,46,Caja A
339,79,890,60,Caja B
340,526,309,13,Caja C
341,302,820,77,Caja D
342,319,179,48,Caja E
343,422,716,52,Caja F
344,264,8,97,Caja G
345,830,48,36,Caja H
346,651,434,55,Caja I
347,474,745,96,Caja J
348,733,419,36,Caja K
349,758,519,46,Caja L
350,756,784,20,Caja M
351,868,648,59,Caja N
352,273,224,51,Caja O
353,83,10,48,Caja P
354,877,561,43,Caja Q
355,455,537,37,Caja R
356,878,195,3,Caja S
357,460,705,16,Caja T
358,243,118,39,Caja U
359,449,941,24,Caja V
360,612,834,55,Caja W
361,174,739,3,Caja X
362,9,914,6,Caja Y
363,310,697,1,Caja Z
364,983,512,38,Caja A
365,857,965,67,Caja B
366,986,726,79,Caja C
367,808,20,39,Caja D
368,194,229,9,Caja E
369,683,856,82,Caja F
370,888,278,20,Caja G
371,881,792,13,Caja H
372,940,536,3,Caja I
373,119,481,95,Caja J
374,34,733,71,Caja K
375,70,284,15,Caja L
376,928,595,45,Caja M
377,920,243,17,Caja N
378,645,414,89,Caja O
379,559,146,41,Caja P
380,831,895,79,Caja Q
381,16,481,94,Caja R
382,710,635,51,Caja S
383,737,565,94,Caja T
384,270,547,74,Caja U
385,467,64,97,Caja V
386,288,565,1,Caja W
387,98,841,37,Caja X
388,469,644,76,Caja Y
389,150,722,54,Caja Z
390,18,723,73,Caja A
391,76,167,29,Caja B
392,901,237,49,Caja C
393,783,577,25,Caja D
394,740,350,84,Caja E
395,459,190,13,Caja F
396,334,876,47,Caja G
397,122,858,67,Caja H
398,672,284,74,Caja I
399,867,466,5,Caja J
400,452,848,23,Caja K
401,542,280,19,Caja L
402,171,12,77,Caja M
403,396,49,42,Caja N
404,660,52,60,Caja O
405,217,237,18,Caja P
406,110,162,18,Caja Q
407,896,755,23,Caja R
408,967,509,6,Caja S
409,552,216,50,Caja T
410,402,517,5,Caja U
411,166,842,90,Caja V
412,444,763,27,Caja W
413,217,804,72,Caja X
414,30,579,73,Caja Y
415,980,677,39,Caja Z
416,683,619,71,Caja A
417,130,747,53,Caja B
418,430,486,64,Caja C
419,627,609,11,Caja D
420,404,561,80,Caja E
421,133,102,13,Caja F
422,721,388,96,Caja G
423,162,438,93,Caja H
424,726,76,80,Caja I
425,593,107,55,Caja J
426,105,60,40,Caja K
427,632,329,12,Caja L
428,795,432,54,Caja M
429,568,399,49,Caja N
430,728,627,86,Caja O
431,587,486,27,Caja P
432,461,498,62,Caja Q
433,960,74,63,Caja R
434,743,620,2,Caja S
435,95,250,8,Caja T
436,318,776,14,Caja U
437,283,892,45,Caja V
438,958,289,33,Caja W
439,83,883,64,Caja X
440,10,177,35,Caja Y
441,625,353,88,Caja Z
442,620,19,4,Caja A
443,856,493,52,Caja B
444,588,41,64,Caja C
445,982,825,67,Caja D
446,331,491,27,Caja E
447,174,514,21,Caja F
448,230,252,11,Caja G
449,550,226,86,Caja H
450,36,391,40,Caja I
451,234,780,27,Caja J
452,328,590,26,Caja K
453,564,435,14,Caja L
454,39,453,3,Caja M
455,450,224,6,Caja N
456,459,892,8,Caja O
457,562,280,72,Caja P
458,151,219,98,Caja Q
459,39,970,60,Caja R
460,465,766,77,Caja S
461,524,113,22,Caja T
462,220,570,12,Caja U
463,380,415,99,Caja V
464,963,154,39,Caja W
465,684,300,35,Caja X
466,287,469,56,Caja Y
467,714,274,99,Caja Z
468,796,894,55,Caja A
469,326,221,81,Caja B
470,533,993,53,Caja C
471,822,946,91,Caja D
472,269,209,41,Caja E
473,503,898,51,Caja F
474,95,223,2,Caja G
475,702,103,4,Caja H
476,349,464,80,Caja I
477,145,359,15,Caja J
478,854,874,8,Caja K
479,5,3,48,Caja L
480,523,347,17,Caja M
481,966,687,8,Caja N
482,2,387,86,Caja O
483,706,169,67,Caja P
484,986,175,22,Caja Q
485,334,351,11,Caja R
486,413,334,54,Caja S
487,466,564,37,Caja T
488,858,152,61,Caja U
489,177,128,20,Caja V
490,263,236,19,Caja W
491,241,503,57,Caja X
492,181,898,19,Caja Y
493,694,907,70,Caja Z
494,370,770,83,Caja A
495,923,50,83,Caja B
496,139,180,95,Caja C
497,578,460,88,Caja D
498,661,835,33,Caja E
499,433,728,49,Caja F
500,662,964,74,Caja G
501,317,258,45,Caja H
502,475,566,15,Caja I
503,569,798,78,Caja J
504,251,699,79,Caja K
505,579,355,72,Caja L
506,664,541,53,Caja M
507,130,353,8,Caja N
508,616,460,29,Caja O
509,564,941,70,Caja P
510,204,597,36,Caja Q
511,716,688,54,Caja R
512,823,344,3,Caja S
513,585,838,61,Caja T
514,819,722,45,Caja U
515,646,975,53,Caja V
516,4,684,97,Caja W
517,529,660,66,Caja X
518,47,140,39,Caja Y
519,959,936,72,Caja Z
520,681,9,98,Caja A
521,894,701,21,Caja B
522,925,238,57,Caja C
523,241,243,68,Caja D
524,400,796,88,Caja E
525,755,501,87,Caja F
526,80,739,55,Caja G
527,764,566,88,Caja H
528,488,666,85,Caja I
529,433,648,49,Caja J
530,117,71,54,Caja K
531,26,875,60,Caja L
532,366,968,59,Caja M
533,465,625,78,Caja N
534,133,227,32,Caja O
535,180,64,73,Caja P
536,337,684,90,Caja Q
537,861,832,89,Caja R
538,283,267,93,Caja S
539,224,833,63,Caja T
540,470,855,6,Caja U
541,614,109,16,Caja V
542,957,35,84,Caja W
543,153,277,70,Caja X
544,738,917,83,Caja Y
545,322,470,75,Caja Z
546,641,141,7,Caja A
547,457,945,9,Caja B
548,541,59,97,Caja C
549,84,65,20,Caja D
550,917,840,77,Caja E
551,515,930,5,Caja F
552,563,285,41,Caja G
553,340,961,10,Caja H
554,934,553,77,Caja I
555,482,221,9,Caja J
556,966,823,58,Caja K
557,906,771,54,Caja L
558,185,793,20,Caja M
559,760,11,33,Caja N
560,502,913,64,Caja O
561,886,874,55,Caja P
562,570,675,80,Caja Q
563,157,705,75,Caja R
564,338,33,76,Caja S
565,973,79,69,Caja T
566,451,759,20,Caja U
567,715,200,56,Caja V
568,262,424,45,Caja W
569,55,950,21,Caja X
570,304,473,3,Caja Y
571,285,118,69,Caja Z
572,239,32,64,Caja A
573,14,401,82,Caja B
574,306,875,77,Caja C
575,835,134,98,Caja D
576,798,122,66,Caja E
577,299,267,10,Caja F
578,981,203,14,Caja G
579,517,146,53,Caja H
580,209,9,39,Caja I
581,675,344,50,Caja J
582,917,22,1,Caja K
583,930,886,61,Caja L
584,397,458,76,Caja M
585,144,15,97,Caja N
586,82,880,100,Caja O
587,755,235,38,Caja P
588,464,344,76,Caja Q
589,264,899,56,Caja R
590,435,68,24,Caja S
591,554,732,83,Caja T
592,103,388,74,Caja U
593,927,194,71,Caja V
594,449,700,87,Caja W
595,441,44,59,Caja X
596,758,450,4,Caja Y
597,956,334,30,Caja Z
598,708,354,44,Caja A
599,694,923,19,Caja B
600,474,158,37,Caja C
601,180,294,2,Caja D
602,766,116,69,Caja E
603,83,154,61,Caja F
604,504,950,33,Caja G
605,772,851,11,Caja H
606,708,519,40,Caja I
607,373,432,69,Caja J
608,109,272,47,Caja K
609,81,144,18,Caja L
