id,nombre,precio,fecha
1,Teclado 117,4267.12,2025-04-19
2,Teclado 533,4962.62,2024-10-15
3,Cámara 331,893.71,2024-11-03
4,Router 411,1419.1,2024-02-06
5,Mouse Pad 560,2875.16,2024-08-22
6,Micrófono 334,3868.01,2025-01-11
7,Parlante 909,2139.23,2024-03-21
8,SSD 181,4576.61,2024-07-22
9,Tablet 334,3575.32,2024-05-31
10,Parlante 389,2352.84,2025-04-19
11,Cargador 961,478.0,2025-04-29
12,Teclado 591,3757.39,2024-03-27
13,Smartwatch 247,106.37,2024-06-10
14,SSD 750,3812.77,2024-09-09
15,Smartphone 511,1443.8,2025-05-02
16,Mouse Pad 261,2489.49,2024-01-09
17,Micrófono 844,1038.9,2025-04-10
18,SSD 836,2327.94,2024-08-18
19,Proyector 241,1524.1,2024-08-28
20,Memoria USB 220,4108.47,2024-06-20
21,Cargador 335,1920.07,2024-08-11
22,Cámara 994,1366.0,2025-03-11
23,Monitor 723,2138.03,2025-01-09
24,Cargador 643,4043.57,2024-10-01
25,Tablet 572,4684.02,2025-03-07
26,Smartphone 156,1233.15,2025-03-31
27,Laptop 846,2310.2,2024-12-23
28,Impresora 648,3406.48,2024-02-27
29,Mouse 165,385.35,2024-09-27
30,Cargador 318,2273.45,2024-08-24
31,Parlante 755,2485.87,2024-10-21
32,Teclado 342,797.96,2025-03-28
33,Laptop 559,1469.62,2024-05-16
34,Tablet 396,2680.76,2024-03-25
35,Mouse Pad 131,3768.89,2024-11-17
36,Router 497,4915.79,2025-01-08
37,Parlante 856,3521.42,2025-04-19
38,Cargador 100,2611.86,2024-08-20
39,Auriculares 573,1521.1,2025-01-21
40,Cámara 816,2633.69,2025-03-14
41,Laptop 943,3243.72,2024-03-15
42,Micrófono 840,4955.05,2024-09-01
43,Auriculares 490,4174.17,2024-11-16
44,Monitor 107,2482.91,2024-08-22
45,Mouse 318,2076.02,2025-02-17
46,Auriculares 593,2122.06,2025-01-17
47,Disco Duro 207,1489.17,2025-04-22
48,Mouse 462,626.88,2024-06-27
49,Parlante 944,1989.71,2024-07-10
50,Impresora 861,3097.65,2024-11-27
51,Proyector 543,3274.78,2025-01-22
52,Impresora 318,3313.0,2025-03-07
53,Proyector 795,3591.87,2024-04-16
54,Auriculares 672,237.94,2024-08-17
55,Router 522,1900.23,2024-07-07
56,Router 915,4351.76,2024-05-07
57,Smartwatch 898,1290.49,2025-03-15
58,Router 785,3039.27,2024-03-11
59,Disco Duro 153,2837.46,2024-05-30
60,Smartwatch 918,1525.39,2025-03-10
61,Cable HDMI 617,3269.99,2024-12-24
62,Proyector 389,2109.32,2024-08-06
63,Tablet 890,2560.05,2024-04-12
64,Mouse 952,1198.48,2024-07-16
65,Mouse Pad 439,2641.27,2024-04-10
66,Router 880,772.97,2024-07-07
67,Disco Duro 293,978.77,2025-05-02
68,Cable HDMI 155,4827.38,2024-05-19
69,SSD 866,2913.4,2025-04-02
70,Memoria USB 141,3311.34,2024-05-17
71,Tablet 995,4456.43,2025-01-06
72,Smartwatch 694,987.74,2024-04-17
73,Cámara 252,2263.74,2024-03-24
74,Impresora 770,3837.45,2025-01-03
75,Smartphone 624,3776.34,2024-03-12
76,Mouse Pad 920,3808.98,2025-02-21
77,Parlante 315,3447.28,2025-02-28
78,Impresora 576,4211.0,2024-07-27
79,Disco Duro 186,2285.13,2024-08-21
80,Monitor 557,258.66,2025-04-25
81,Smartphone 368,1182.71,2024-05-09
82,Smartphone 661,564.1,2025-01-15
83,Parlante 656,2512.62,2024-02-11
84,Cámara 770,756.91,2025-02-05
85,Teclado 716,2071.66,2024-02-03
86,Micrófono 936,3880.58,2024-11-25
87,Micrófono 382,2658.83,2024-08-04
88,Micrófono 437,4576.57,2024-11-22
89,Memoria USB 445,3678.31,2024-02-18
90,Tablet 957,3458.28,2025-03-14
91,Smartphone 976,323.48,2025-02-28
92,SSD 141,1795.99,2024-12-23
93,Impresora 647,2124.12,2024-01-30
94,Laptop 673,3033.48,2025-02-21
95,Micrófono 819,1660.11,2025-04-18
96,Mouse 479,2872.05,2025-03-21
97,Smartphone 916,2258.29,2024-12-25
98,Disco Duro 428,4259.59,2025-04-19
99,Auriculares 736,2956.92,2025-01-25
100,Monitor 774,4506.42,2024-11-13
101,Disco Duro 965,1020.93,2024-09-17
102,Cable HDMI 334,4158.72,2024-07-08
103,Smartwatch 361,3203.8,2024-10-05
104,Proyector 822,2670.07,2024-06-01
105,Tablet 143,3842.67,2025-02-05
106,SSD 497,1222.97,2024-01-30
107,SSD 147,3861.66,2024-07-17
108,Monitor 957,2250.45,2024-09-12
109,Tablet 199,1439.82,2024-05-19
110,Proyector 724,1742.24,2024-01-25
111,Monitor 369,4771.49,2024-10-08
112,Parlante 656,1694.26,2024-05-26
113,Mouse 386,2185.02,2024-10-05
114,Teclado 191,897.13,2024-06-21
115,SSD 517,4679.91,2024-11-13
116,Parlante 901,1988.98,2024-07-03
117,Cargador 172,1177.2,2024-06-19
118,Cable HDMI 824,2348.07,2025-01-25
119,Monitor 748,4442.89,2024-12-05
120,Teclado 245,4066.62,2025-04-18
121,Cargador 387,1956.71,2024-04-23
122,Memoria USB 282,977.72,2024-12-18
123,Impresora 258,4028.32,2024-06-15
124,Disco Duro 895,1096.29,2024-07-20
